Device,Prog/Data BPs,Data BP Access,ANDed BPs,Sequenced BPs,Range BPs,Table R/W BPs,Pass Count,Break - Clk Sw,Break - Sleep,Break - Stack,Break - WDT,Stopwatch,Runtime Reads,Stack Snapshot,Runtime BPs,SW BPs,Trace,Analyzer
PIC16C771,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C773,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C774,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C781,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C782,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C923,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C924,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C925,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C926,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16CE623,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16CE624,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16CE625,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16CR54,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16CR54A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16CR54C,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16CR56A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
