Device,ADC,Bootswap,CCP,CLC,COG,Comp,CVREF,CoreTimer,CRC,CWG,DeepSleep,DMA,DSM,EEFlash,FVR,GPIO,HLT,IC,INT,IOC,OC,Osc,Ports,PPS,PWM,PullUp,RTSP,SMT,Timer,UART,VREF,WDT
PIC24HJ12GP201,ADC1,,,,,,,,,,,,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2,OSC,PORTA;PORTB,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3,UART1,,WDT
PIC24HJ12GP202,ADC1,,,,,,,,,,,,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2,OSC,PORTA;PORTB,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3,UART1,,WDT
PIC24HJ16GP304,ADC1,,,,,,,,,,,,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3,UART1,,WDT
PIC24HJ256GP206,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTB;PORTC;PORTD;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ256GP206A,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTB;PORTC;PORTD;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ256GP210,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ256GP210A,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ256GP610,ADC1;ADC2,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ256GP610A,ADC1;ADC2,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ32GP202,ADC1,,,,,,,,,,,,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2,OSC,PORTA;PORTB,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3,UART1,,WDT
