,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device,Prog/Data BPs,Data BP Access,ANDed BPs,Sequenced BPs,Range BPs,Table R/W BPs,Pass Count,Break - Clk Sw,Break - Sleep,Break - Stack,Break - WDT,Stopwatch,Debug Reads,Stack Snapshot,PKOB Support,Runtime BPs,SW BPs,App IO,Data Capture,Realtime Watch,Native Trace,Port Trace,SPI Trace,Inst Trace,Jump Trace,PC Sampling,FLP,
PIC16F1619,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1619 using AC244066,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1703,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1703 using AC244065,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1704,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1704 using AC244065,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1705,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1705 using AC244065,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1707,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1707 using AC244065,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1708,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1708 using AC244065,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1709,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1709 using AC244065,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1713,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1713 using AC244065,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1716,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1716 using AC244065,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1717,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1717 using AC244065,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1718,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1718 using AC244065,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1719,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1719 using AC244065,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1764,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1765,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1768,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1769,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1773,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1776,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1777,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1778,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1779,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1782,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1782 using AC244064,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1783,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1783 using AC244064,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1784,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1784 using AC244064,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1786,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1786 using AC244064,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1787,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1787 using AC244064,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1788,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1788 using AC244064,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1789,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1789 using AC244064,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1823,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1823 using AC244043,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1823 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1824,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1824 using AC244043,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1824 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1825,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1825 using AC244043,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1825 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1826,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1826 using AC244046,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1826 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1827,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1827 using AC244046,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1827 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1828,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1828 using AC244043,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1828 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1829,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1829 using AC244043,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1829 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1829LIN,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F18313,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18323,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18324,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18325,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18326,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18344,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18345,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18346,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1847,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1847 using AC244046,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1847 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F18854,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18855,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18856,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18857,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18875,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18876,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F18877,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F19195,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F19196,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F19197,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1933,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1933 using AC244035,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1933 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1934,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1934 using AC244035,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1934 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1936,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1936 using AC244035,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1936 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1937,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1937 using AC244035,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1937 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1938,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1938 using AC244035,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1938 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1939,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1939 using AC244035,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1939 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1946,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1947,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F505 using AC162059,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F506 using AC162070,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F526 using AC162096,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F54,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16F57,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16F59,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16F610 using AC162083,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F616 using AC162083,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F627,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16F627A using AC162053,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F628,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16F628A using AC162053,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F630 using AC162052,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F631 using AC162061,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F636 using AC162057,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F639 using AC162066,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F648A using AC162053,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F676 using AC162052,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F677 using AC162061,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F684 using AC162055,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F685 using AC162061,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F687 using AC162061,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
