,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device,Prog/Data BPs,Data BP Access,ANDed BPs,Sequenced BPs,Range BPs,Table R/W BPs,Pass Count,Break - Clk Sw,Break - Sleep,Break - Stack,Break - WDT,Stopwatch,Debug Reads,Stack Snapshot,PKOB Support,Runtime BPs,SW BPs,App IO,Data Capture,Realtime Watch,Native Trace,Port Trace,SPI Trace,Inst Trace,Jump Trace,PC Sampling,FLP,
PIC12F675 using AC162050,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F683 using AC162058,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F752,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F752 using AC244049,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12HV609 using AC162083,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12HV615 using AC162083,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12HV752,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12HV752 using AC244050,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1501,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC12LF1501 using AC244052,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1552,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC12LF1571,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1572,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1612,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1612 using AC244066,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC12LF1822,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1822 using AC244044,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC12LF1822 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC12LF1840,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1840 using AC244044,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC12LF1840 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC12LF1840T39A,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1840T48A,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1454,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1454 using AC244053,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1455,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1455 using AC244053,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1459,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1459 using AC244053,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1503,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16F1503 using AC244051,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1507,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16F1507 using AC244051,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1508,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1508 using AC244051,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1509,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1509 using AC244051,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1512,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1513,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1516,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
